"timestamp","relogoRun","boidBoidCollisions","boidObstacleCollisions","flocksMaxSize","flocksNumber"
0.0,0,0,0,0,0
1.0,1,0.0,0,5,12
2.0,1,0.0,0,5,11
3.0,1,0.0,1,5,13
4.0,1,0.0,1,5,13
5.0,1,0.0,1,5,12
6.0,1,0.0,1,10,11
7.0,1,0.0,0,10,11
8.0,1,0.0,0,10,11
9.0,1,0.0,0,10,11
10.0,1,0.0,0,10,11
11.0,1,0.0,0,10,11
12.0,1,0.0,0,10,11
13.0,1,0.0,0,10,11
14.0,1,0.0,0,5,12
15.0,1,0.0,0,5,12
16.0,1,0.0,0,5,12
17.0,1,0.0,0,5,12
18.0,1,0.0,0,5,12
19.0,1,0.0,0,5,12
20.0,1,0.0,0,5,12
21.0,1,0.0,0,5,12
22.0,1,0.0,0,5,12
23.0,1,0.0,0,5,12
24.0,1,0.0,0,6,11
25.0,1,0.0,0,6,11
26.0,1,0.0,0,6,11
27.0,1,0.0,0,6,11
28.0,1,1.0,0,6,11
29.0,1,1.0,0,6,11
30.0,1,1.0,0,6,10
31.0,1,1.0,0,6,10
32.0,1,2.0,0,6,10
33.0,1,1.0,0,6,10
34.0,1,2.0,0,6,9
35.0,1,1.0,0,6,8
36.0,1,0.0,0,6,8
37.0,1,0.0,0,6,8
38.0,1,1.0,0,6,7
39.0,1,2.0,0,6,7
40.0,1,2.0,0,6,7
41.0,1,2.0,0,6,7
42.0,1,2.0,1,6,7
43.0,1,1.0,1,6,7
44.0,1,1.0,1,6,7
45.0,1,0.0,1,6,7
46.0,1,0.0,0,6,7
47.0,1,0.0,0,6,7
48.0,1,0.0,0,6,7
49.0,1,0.0,0,6,7
50.0,1,0.0,0,6,7
51.0,1,0.0,0,6,7
52.0,1,0.0,0,6,7
53.0,1,0.0,0,6,6
54.0,1,0.0,0,6,7
55.0,1,0.0,0,6,6
56.0,1,0.0,0,6,6
57.0,1,0.0,0,10,5
58.0,1,0.0,0,10,5
59.0,1,0.0,0,10,5
60.0,1,0.0,0,10,5
