timestamp,relogoRun,boidBoidCollisions,boidObstacleCollisions,flocksMaxSize,flocksNumber
0,0,0,0,0,0
1,1,0,0,5,12
2,1,0,0,5,11
3,1,0,1,5,13
4,1,0,1,5,13
5,1,0,1,5,12
6,1,0,1,10,11
7,1,0,0,10,11
8,1,0,0,10,11
9,1,0,0,10,11
10,1,0,0,10,11
11,1,0,0,10,11
12,1,0,0,10,11
13,1,0,0,10,11
14,1,0,0,5,12
15,1,0,0,5,12
16,1,0,0,5,12
17,1,0,0,5,12
18,1,0,0,5,12
19,1,0,0,5,12
20,1,0,0,5,12
21,1,0,0,5,12
22,1,0,0,5,12
23,1,0,0,5,12
24,1,0,0,6,11
25,1,0,0,6,11
26,1,0,0,6,11
27,1,0,0,6,11
28,1,1,0,6,11
29,1,1,0,6,11
30,1,1,0,6,10
31,1,1,0,6,10
32,1,2,0,6,10
33,1,1,0,6,10
34,1,2,0,6,9
35,1,1,0,6,8
36,1,0,0,6,8
37,1,0,0,6,8
38,1,1,0,6,7
39,1,2,0,6,7
40,1,2,0,6,7
41,1,2,0,6,7
42,1,2,1,6,7
43,1,1,1,6,7
44,1,1,1,6,7
45,1,0,1,6,7
46,1,0,0,6,7
47,1,0,0,6,7
48,1,0,0,6,7
49,1,0,0,6,7
50,1,0,0,6,7
51,1,0,0,6,7
52,1,0,0,6,7
53,1,0,0,6,6
54,1,0,0,6,7
55,1,0,0,6,6
56,1,0,0,6,6
57,1,0,0,10,5
58,1,0,0,10,5
59,1,0,0,10,5
60,1,0,0,10,5
61,1,0,0,10,5
62,1,0,0,10,5
63,1,0,0,10,5
64,1,0,0,10,5
65,1,0,0,10,5
66,1,0,0,10,5
67,1,1,0,10,5
68,1,1,0,10,5
69,1,1,0,10,5
70,1,1,0,10,5
71,1,1,0,10,5
72,1,1,0,10,5
73,1,1,0,10,5
74,1,0,0,10,5
75,1,0,0,10,5
76,1,0,0,10,5
77,1,0,0,10,5
78,1,1,0,10,5
79,1,1,0,10,5
80,1,1,0,10,5
81,1,1,0,10,5
82,1,1,0,10,5
83,1,1,0,10,5
84,1,0,0,10,5
85,1,0,0,10,5
86,1,0,0,10,5
87,1,0,0,10,5
88,1,0,0,10,5
89,1,0,0,10,5
90,1,0,0,10,5
91,1,0,0,10,5
92,1,0,0,10,5
93,1,0,0,10,5
94,1,0,0,10,5
95,1,0,0,10,5
96,1,0,1,10,5
97,1,0,1,10,5
98,1,0,1,10,5
99,1,0,0,10,5
100,1,0,0,10,5
101,1,0,0,10,5
102,1,0,0,10,5
103,1,0,0,10,5
104,1,0,0,10,5
105,1,0,0,10,5
106,1,0,0,10,5
107,1,0,0,10,4
108,1,0,0,10,4
109,1,0,0,10,4
110,1,0,0,10,4
111,1,0,0,10,4
